user,product,rating
65539d7f0d791a8e1423270f,65542ae0ef2f1ba100950564,5.0
65539d7f0d791a8e14232725,65542a60ef2f1ba10095054a,5.0
65539d7f0d791a8e14232707,65542b25ef2f1ba10095057f,4.2
65539d7f0d791a8e1423270c,6541b76cc5119cad40d2b8ba,2.5
65539d7f0d791a8e1423271c,65542ae0ef2f1ba100950565,3.3
65539d7f0d791a8e1423270b,6541b6e9c5119cad40d2b8ae,5.0
65539d7f0d791a8e1423271a,65542ae0ef2f1ba100950567,1.2
65539d7f0d791a8e14232713,65542b4eef2f1ba100950596,2.3
65539d7f0d791a8e14232707,65542a60ef2f1ba10095054d,5.0
65539d7f0d791a8e1423270a,65542b25ef2f1ba100950581,4.5
65539d7f0d791a8e1423270d,65542b4eef2f1ba100950593,3.6
65539d7f0d791a8e14232712,65542ae0ef2f1ba10095056a,2.4
65539d7f0d791a8e1423272f,65542b4eef2f1ba100950591,3.0
65539d7f0d791a8e1423272c,65542b25ef2f1ba10095057e,1.0
65539d7f0d791a8e1423271f,65542b85ef2f1ba1009505ad,1.5
65539d7f0d791a8e14232722,65542a60ef2f1ba10095054c,2.5
65539d7f0d791a8e1423272c,65542ae0ef2f1ba10095056a,3.4
65539d7f0d791a8e1423270b,65542b4eef2f1ba100950594,3.0
65539d7f0d791a8e14232712,65542b4eef2f1ba100950593,2.7
65539d7f0d791a8e14232713,6554290d02f4af6d4cefe492,5.0
65539d7f0d791a8e14232725,65542b25ef2f1ba10095057e,1.0
65539d7f0d791a8e14232709,65542b85ef2f1ba1009505a7,1.0
65539d7f0d791a8e14232723,65542ae0ef2f1ba100950567,5.0
65539d7f0d791a8e14232703,65542b85ef2f1ba1009505ad,1.6
65539d7f0d791a8e1423271a,65542b4eef2f1ba10095058f,1.6
65539d7f0d791a8e14232718,65542b25ef2f1ba100950580,1.0
65539d7f0d791a8e14232721,65542b25ef2f1ba10095057f,3.8
65539d7f0d791a8e1423270e,65542a60ef2f1ba10095054f,2.7
65539d7f0d791a8e142326fe,65542b4eef2f1ba100950592,4.0
65539d7f0d791a8e1423272b,65542b85ef2f1ba1009505ae,5.0
65539d7f0d791a8e14232721,65542b25ef2f1ba100950580,3.3
65539d7f0d791a8e14232710,65542b25ef2f1ba10095057b,1.4
65539d7f0d791a8e14232718,65542b25ef2f1ba100950579,5.0
65539d7f0d791a8e1423271a,65542b4eef2f1ba100950592,5.0
65539d7f0d791a8e14232717,6541b76cc5119cad40d2b8ba,1.2
65539d7f0d791a8e14232721,65542b4eef2f1ba100950596,5.0
65539d7f0d791a8e1423272a,65542b25ef2f1ba100950580,4.3
65539d7f0d791a8e1423270d,65542b4eef2f1ba100950593,4.0
65539d7f0d791a8e14232727,65542b85ef2f1ba1009505af,2.4
65539d7f0d791a8e1423271a,6541b555c5119cad40d2b89c,5.0
65539d7f0d791a8e1423272e,65542b85ef2f1ba1009505ad,1.7
65539d7f0d791a8e14232714,65542b25ef2f1ba100950581,4.7
65539d7f0d791a8e14232703,65542b4eef2f1ba100950599,3.6
65539d7f0d791a8e1423272a,65542b85ef2f1ba1009505ac,5.0
65539d7f0d791a8e14232727,65542b25ef2f1ba100950577,3.7
65539d7f0d791a8e1423272d,65542b85ef2f1ba1009505a9,3.9
65539d7f0d791a8e1423272c,655427740fd108a6bc1c9757,5.0
65539d7f0d791a8e14232712,65542b4eef2f1ba100950590,3.7
65539d7f0d791a8e14232723,65542b4eef2f1ba100950598,5.0
65539d7f0d791a8e1423270d,65542ae0ef2f1ba100950568,2.2
65539d7f0d791a8e14232719,65542a60ef2f1ba10095054c,5.0
65539d7f0d791a8e14232702,65542ae0ef2f1ba100950566,3.6
65539d7f0d791a8e1423272c,65542a60ef2f1ba100950549,3.2
65539d7f0d791a8e14232701,65542b4eef2f1ba100950593,5.0
65539d7f0d791a8e14232730,65542a60ef2f1ba10095054f,3.7
65539d7f0d791a8e1423272d,65542b25ef2f1ba100950579,4.4
65539d7f0d791a8e1423272e,65542b4eef2f1ba100950596,2.1
65539d7f0d791a8e14232711,65542b4eef2f1ba100950595,4.6
65539d7f0d791a8e14232717,6541b729c5119cad40d2b8b4,4.4
65539d7f0d791a8e14232714,65542a60ef2f1ba10095054d,3.8
65539d7f0d791a8e14232701,65542ae0ef2f1ba100950563,2.5
65539d7f0d791a8e1423271b,65542ae0ef2f1ba100950567,1.1
65539d7f0d791a8e1423272b,65542b4eef2f1ba100950590,2.4
65539d7f0d791a8e1423272d,6541b60ac5119cad40d2b8a8,1.6
65539d7f0d791a8e14232725,65542b85ef2f1ba1009505aa,2.9
65539d7f0d791a8e1423272c,65542b25ef2f1ba100950581,3.1
65539d7f0d791a8e14232700,65542a60ef2f1ba10095054b,5.0
65539d7f0d791a8e1423270a,65542a60ef2f1ba10095054a,1.1
65539d7f0d791a8e14232711,6541b555c5119cad40d2b89c,1.3
65539d7f0d791a8e1423272d,655427740fd108a6bc1c9757,4.5
65539d7f0d791a8e14232726,65542b85ef2f1ba1009505ac,4.1
65539d7f0d791a8e1423270e,65542a60ef2f1ba10095054a,4.2
65539d7f0d791a8e14232700,65542b25ef2f1ba100950581,2.6
65539d7f0d791a8e1423270d,65542ae0ef2f1ba10095056a,2.1
65539d7f0d791a8e14232724,65542a60ef2f1ba100950548,2.7
65539d7f0d791a8e14232714,65542b85ef2f1ba1009505ab,1.6
65539d7f0d791a8e1423271b,65542ae0ef2f1ba100950562,1.1
65539d7f0d791a8e14232718,65542a60ef2f1ba100950549,2.4
65539d7f0d791a8e14232720,65542b4eef2f1ba100950591,1.7
65539d7f0d791a8e14232725,655427740fd108a6bc1c9757,4.8
65539d7f0d791a8e1423271c,65542b4eef2f1ba100950596,5.0
65539d7f0d791a8e14232725,65542b85ef2f1ba1009505aa,2.3
65539d7f0d791a8e14232723,6541b76cc5119cad40d2b8ba,1.7
65539d7f0d791a8e14232722,65542b25ef2f1ba10095057e,2.0
65539d7f0d791a8e1423272c,65542b85ef2f1ba1009505ab,5.0
65539d7f0d791a8e14232702,65542a60ef2f1ba10095054b,4.6
65539d7f0d791a8e1423271c,65542b85ef2f1ba1009505a7,2.2
65539d7f0d791a8e1423271b,65542a60ef2f1ba10095054e,1.1
65539d7f0d791a8e1423270d,65542b25ef2f1ba10095057a,5.0
65539d7f0d791a8e1423271e,65542ae0ef2f1ba100950564,1.9
65539d7f0d791a8e14232702,65542ae0ef2f1ba100950563,1.0
65539d7f0d791a8e14232710,65542b4eef2f1ba100950593,5.0
65539d7f0d791a8e1423272e,65542ae0ef2f1ba100950564,1.7
65539d7f0d791a8e1423270d,65542b25ef2f1ba10095057a,1.6
65539d7f0d791a8e14232724,65542b4eef2f1ba100950597,1.0
65539d7f0d791a8e1423270c,65542b4eef2f1ba100950596,1.1
65539d7f0d791a8e14232701,65542b85ef2f1ba1009505aa,4.7
65539d7f0d791a8e1423271f,65542ae0ef2f1ba100950562,1.2
65539d7f0d791a8e14232700,65542b85ef2f1ba1009505b0,5.0
65539d7f0d791a8e1423271d,65542b25ef2f1ba10095057d,2.8
65539d7f0d791a8e14232727,65542b85ef2f1ba1009505af,5.0
65539d7f0d791a8e1423270f,6541b5adc5119cad40d2b8a2,2.8
65539d7f0d791a8e14232714,65542b25ef2f1ba10095057b,5.0
65539d7f0d791a8e1423270c,6541b729c5119cad40d2b8b4,1.8
65539d7f0d791a8e14232727,65542b85ef2f1ba1009505b1,5.0
65539d7f0d791a8e14232729,65542ae0ef2f1ba10095056a,1.7
65539d7f0d791a8e14232702,65542ae0ef2f1ba100950561,1.4
65539d7f0d791a8e14232722,65542b85ef2f1ba1009505a7,2.8
65539d7f0d791a8e14232725,65542a60ef2f1ba10095054d,3.7
65539d7f0d791a8e14232728,6541b555c5119cad40d2b89c,1.6
65539d7f0d791a8e14232721,65542b25ef2f1ba10095057b,1.8
65539d7f0d791a8e1423271c,65542b85ef2f1ba1009505aa,1.0
65539d7f0d791a8e1423272e,65542ae0ef2f1ba10095056a,4.2
65539d7f0d791a8e1423271f,65542b4eef2f1ba100950598,2.7
65539d7f0d791a8e1423270d,65542a60ef2f1ba100950547,1.3
65539d7f0d791a8e142326fe,65542b85ef2f1ba1009505aa,4.7
65539d7f0d791a8e1423272a,65542ae0ef2f1ba100950566,5.0
65539d7f0d791a8e14232709,65542b25ef2f1ba10095057f,2.3
65539d7f0d791a8e1423270e,65542b85ef2f1ba1009505a7,5.0
65539d7f0d791a8e142326fe,65542a60ef2f1ba10095054e,4.0
65539d7f0d791a8e14232711,65542b85ef2f1ba1009505ab,3.5
65539d7f0d791a8e1423272e,65542b4eef2f1ba100950592,1.7
65539d7f0d791a8e14232703,65542ae0ef2f1ba100950566,1.0
65539d7f0d791a8e14232730,65542a60ef2f1ba10095054c,1.7
65539d7f0d791a8e14232709,65542ae0ef2f1ba100950565,3.3
65539d7f0d791a8e14232714,65542b4eef2f1ba100950594,2.8
65539d7f0d791a8e14232707,65542b25ef2f1ba10095057f,2.0
65539d7f0d791a8e1423272a,65542ae0ef2f1ba100950567,3.4
65539d7f0d791a8e1423271a,65542b25ef2f1ba10095057e,1.9
